label,source,target,slng,slat,tlng,tlat
0,1710,1351,114.114,22.536,114.122,22.56
1,1351,1468,114.122,22.56,114.098,22.552
0,1468,1408,114.098,22.552,114.098,22.556
1,1408,1521,114.098,22.556,114.042,22.548
0,1521,1702,114.042,22.548,114.05,22.536
1,1702,1645,114.05,22.536,114.074,22.54
0,1645,1884,114.074,22.54,114.066,22.524
1,1884,1884,114.066,22.524,114.066,22.524
0,1884,1883,114.066,22.524,114.058,22.524
1,1883,1807,114.058,22.524,113.93,22.528
0,1807,1566,113.93,22.528,113.922,22.544
1,1566,750,113.922,22.544,114.114,22.6
0,750,1470,114.114,22.6,114.114,22.552
1,1470,1884,114.114,22.552,114.066,22.524
0,1884,1645,114.066,22.524,114.074,22.54
1,1645,1761,114.074,22.54,114.042,22.532
0,1761,1762,114.042,22.532,114.05,22.532
1,1762,1884,114.05,22.532,114.066,22.524
0,1884,1706,114.066,22.524,114.082,22.536
1,1706,1524,114.082,22.536,114.066,22.548
0,1524,1521,114.066,22.548,114.042,22.548
1,1521,1765,114.042,22.548,114.074,22.532
0,1765,1587,114.074,22.532,114.09,22.544
1,1587,1469,114.09,22.544,114.106,22.552
0,1469,1649,114.106,22.552,114.106,22.54
1,1649,1761,114.106,22.54,114.042,22.532
0,1761,1702,114.042,22.532,114.05,22.536
1,1702,1484,114.05,22.536,114.226,22.552
0,1484,1365,114.226,22.552,114.234,22.56
1,1365,156,114.234,22.56,114.162,22.64
0,156,99,114.162,22.64,114.186,22.644
1,99,703,114.186,22.644,114.218,22.604
0,703,946,114.218,22.604,114.242,22.588
1,946,945,114.242,22.588,114.234,22.588
0,945,217,114.234,22.588,114.17,22.636
1,217,395,114.17,22.636,114.154,22.624
0,395,328,114.154,22.624,114.098,22.628
1,328,1223,114.098,22.628,114.058,22.568
0,1223,1705,114.058,22.568,114.074,22.536
1,1705,1823,114.074,22.536,114.058,22.528
0,1823,1462,114.058,22.528,114.05,22.552
1,1462,1581,114.05,22.552,114.042,22.544
0,1581,1461,114.042,22.544,114.042,22.552
1,1461,23,114.042,22.552,114.058,22.648
0,23,203,114.058,22.648,114.058,22.636
1,203,500,114.058,22.636,114.034,22.616
0,500,681,114.034,22.616,114.042,22.604
1,681,1203,114.042,22.604,113.898,22.568
0,1203,1203,113.898,22.568,113.898,22.568
1,1203,1822,113.898,22.568,114.05,22.528
0,1822,1941,114.05,22.528,114.042,22.52
1,1941,1763,114.042,22.52,114.058,22.532
0,1763,1762,114.058,22.532,114.05,22.532
1,1762,1710,114.05,22.532,114.114,22.536
0,1710,1590,114.114,22.536,114.114,22.544
1,1590,1288,114.114,22.544,114.098,22.564
0,1288,1112,114.098,22.564,114.13,22.576
1,1112,1296,114.13,22.576,114.162,22.564
0,1296,1643,114.162,22.564,114.058,22.54
1,1643,1764,114.058,22.54,114.066,22.532
0,1764,1763,114.066,22.532,114.058,22.532
1,1763,1383,114.058,22.532,113.898,22.556
